axis_id,layer,train_accuracy,test_accuracy,test_ci_low,test_ci_high,random_null_mean,permutation_null_mean,permutation_p,permutation_q_bh,axis_norm,score
eye_inflammation_vs_other_eye_ccs,3,0.5571428571428572,0.5111111111111111,0.4388888888888889,0.5833333333333334,0.5043,0.49983999999999995,0.0688,0.1426341463414634,14.705306053161621,0.006811111111111101
eye_inflammation_vs_other_eye_ccs,4,0.523015873015873,0.5055555555555555,0.43333333333333335,0.5777777777777777,0.5084944444444445,0.49962,0.142,0.24736734693877552,17.4029483795166,-0.0029388888888889353
eye_inflammation_vs_other_eye_ccs,5,0.5333333333333333,0.5555555555555556,0.48333333333333334,0.6277777777777778,0.50299,0.5000766666666666,0.0002,0.002518518518518519,12.768293380737305,0.05256555555555553
eye_inflammation_vs_other_eye_ccs,6,0.5674603174603174,0.5,0.42777777777777776,0.5723611111111091,0.5032166666666666,0.5001577777777777,0.6742,0.8546765799256506,17.4014892578125,-0.0032166666666666455
eye_inflammation_vs_other_eye_ccs,7,0.5222222222222223,0.5388888888888889,0.4666666666666667,0.6111111111111112,0.5047622222222222,0.4998511111111111,0.0838,0.16469364161849712,33.19178009033203,0.03412666666666664
eye_inflammation_vs_other_eye_ccs,8,0.530952380952381,0.5,0.42777777777777776,0.5722222222222222,0.5014255555555556,0.49993777777777776,0.8428,0.9488476821192053,22.7244815826416,-0.0014255555555555688
eye_inflammation_vs_other_eye_ccs,9,0.596031746031746,0.55,0.4777777777777778,0.6222222222222222,0.5037288888888888,0.5004611111111111,0.0522,0.11676315789473685,23.160493850708008,0.04627111111111126
eye_inflammation_vs_other_eye_ccs,10,0.5134920634920634,0.5277777777777778,0.45555555555555555,0.6,0.5021466666666666,0.500041111111111,0.0544,0.1201038961038961,29.408370971679688,0.02563111111111116
eye_inflammation_vs_other_eye_ccs,11,0.5095238095238095,0.46111111111111114,0.3888888888888889,0.5333333333333333,0.4923633333333333,0.4996111111111111,0.7986,0.9298767123287671,51.696937561035156,-0.03125222222222218
eye_inflammation_vs_other_eye_ccs,12,0.4785714285714286,0.46111111111111114,0.3888888888888889,0.5333333333333333,0.48552000000000006,0.4999066666666668,0.6762,0.8546765799256506,72.40158081054688,-0.024408888888888924
eye_inflammation_vs_other_eye_ccs,13,0.5103174603174603,0.5,0.42777777777777776,0.5722222222222222,0.49845555555555565,0.5000744444444445,0.8548,0.9528918032786885,134.7914581298828,0.0015444444444443484
eye_inflammation_vs_other_eye_ccs,14,0.5079365079365079,0.48333333333333334,0.4111111111111111,0.5555555555555556,0.49831000000000003,0.49992111111111115,0.923,0.9924378698224853,101.90824890136719,-0.014976666666666694
eye_inflammation_vs_other_eye_ccs,15,0.5023809523809524,0.5166666666666667,0.4444444444444444,0.5888888888888889,0.4951644444444444,0.500191111111111,0.096,0.17947540983606558,126.7806396484375,0.02150222222222231
eye_inflammation_vs_other_eye_ccs,16,0.5357142857142857,0.4777777777777778,0.40555555555555556,0.55,0.49922333333333335,0.5003144444444444,0.922,0.9924378698224853,124.08622741699219,-0.02144555555555555
eye_inflammation_vs_other_eye_ccs,17,0.5285714285714286,0.49444444444444446,0.4222222222222222,0.5666666666666667,0.4984133333333333,0.4998033333333334,0.6742,0.8546765799256506,189.2712860107422,-0.003968888888888855
eye_inflammation_vs_other_eye_ccs,18,0.553968253968254,0.49444444444444446,0.4222222222222222,0.5666666666666667,0.5022811111111111,0.4998322222222221,0.689,0.8560283687943262,207.90887451171875,-0.007836666666666603
eye_inflammation_vs_other_eye_ccs,19,0.5380952380952381,0.4777777777777778,0.40555555555555556,0.5555555555555556,0.5015033333333333,0.49997444444444444,0.9458,0.9924378698224853,206.7825469970703,-0.0237255555555555
eye_inflammation_vs_other_eye_ccs,20,0.6341269841269841,0.5888888888888889,0.5166666666666667,0.6611111111111111,0.5049411111111111,0.5004211111111112,0.0002,0.002518518518518519,241.2359619140625,0.08394777777777784
eye_inflammation_vs_other_eye_ccs,21,0.6,0.6,0.5277777777777778,0.6722222222222223,0.5066911111111112,0.49979777777777773,0.0004,0.004,277.9145812988281,0.09330888888888877
eye_inflammation_vs_other_eye_ccs,22,0.6071428571428571,0.5277777777777778,0.45555555555555555,0.6,0.5117888888888888,0.4995633333333333,0.2284,0.36964928909952605,490.41583251953125,0.01598888888888894
eye_inflammation_vs_other_eye_ccs,23,0.5944444444444444,0.5166666666666667,0.4388888888888889,0.5888888888888889,0.5115266666666667,0.5000644444444444,0.1438,0.2481827411167513,608.3961791992188,0.005140000000000033
eye_inflammation_vs_other_eye_ccs,24,0.6952380952380952,0.5888888888888889,0.5166666666666667,0.6611111111111111,0.5180977777777778,0.5007033333333333,0.0212,0.05502290076335878,1409.295166015625,0.07079111111111114
eye_inflammation_vs_other_eye_ccs,25,0.7507936507936508,0.6222222222222222,0.55,0.6944444444444444,0.518441111111111,0.49948777777777775,0.0042,0.01741463414634146,1750.440185546875,0.10378111111111121
eye_inflammation_vs_other_eye_ccs,26,0.8539682539682539,0.6333333333333333,0.5611111111111111,0.7,0.5197277777777778,0.5001866666666667,0.0016,0.009714285714285715,2228.023681640625,0.11360555555555552
